城市,名称,上牌时间,品牌,表显里程,排量,变速箱,原价,售价,排放标准,过户次数,使用性质,产权性质,看车方式,异常点,车长/宽/高,轴距,行李箱容积,整备质量,进气形式,气缸数,最大马力,最大扭矩,燃料类型,燃油标号,供油方式,驱动方式,助力类型,前悬挂类型,后悬挂类型,前制动类型,后制动类型,驱车制动类型,前轮胎规格,后轮胎规格,abs,esp,定速巡航,gps,倒车雷达,倒车影像系统
太原,中华V3 2015款 1.5L 自动智能型,2015,中华V3,4.86万公里,1.5L,自动,9.63万,4.30万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,3,4200/1790/1600,2570,455,1350,自然吸气,4缸,112,145,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
太原,中华V3 2015款 1.5L 自动智能型,2015,中华V3,4.86万公里,1.5L,自动,9.63万,4.30万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,3,4200/1790/1600,2570,455,1350,自然吸气,4缸,112,145,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,215/60 R17,215/60 R17,标配,标配,标配,标配,标配,标配
重庆,本田 凌派 2019款 180Turbo CVT豪华版 国VI,2019,本田,1.18万公里,1.0T,自动,13.00万,9.18万,国六,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4756/1804/1509,2730,561,1296,涡轮增压,3缸,122,173,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,电子驻车,215/55 R16,215/55 R16,标配,标配,-,标配,标配,-
北京,丰田 凯美瑞 2015款 2.0G 领先版,2015,丰田,10.2万公里,2.0L,自动,20.93万,13.98万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4850/1825/1480,2775,-,1475,自然吸气,4缸,167,199,汽油,92号,混合喷射,前置前驱,电动助力,麦弗逊式独立悬架,双连杆独立悬架,通风盘式,盘式,脚刹,215/60 R16,215/60 R16,标配,标配,-,标配,标配,-
上海,奔驰CLA级 2015款 CLA 220 4MATIC(进口),2015,奔驰CLA级,3.73万公里,2.0T,自动,34.52万,21.66万,国五,5次过户,非运营使用性质,公户产权性质,到店服务看车方式,17,4684/1777/1423,2700,470,-,涡轮增压,4缸,184,300,汽油,95号,直喷,前置四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,225/40 R18,225/40 R18,标配,标配,标配,标配,标配,-
郑州,长城C30 2015款 1.5L AMT豪华型,2015,长城C30,2.4万公里,1.5L,自动,8.30万,3.98万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,10,4471/1705/1480,2610,510,1160,自然吸气,4缸,106,138,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,纵臂扭力梁式复合悬架,通风盘式,盘式,手刹,185/65 R15,185/65 R15,标配,标配,标配,标配,标配,-
合肥,福特 福睿斯 2015款 1.5L 自动时尚型,2015,福特,5.17万公里,1.5L,自动,13.00万,5.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4587/1825/1490,2687,448,1300,自然吸气,4缸,113,142,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式后悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,标配,标配,标配,标配,-
德州,昌河M50 2015款 1.5L公务舱BJ415B,2015,昌河M50,7.46万公里,1.5L,手动,5.63万,1.65万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,39,4440/1700/1855,2790,,1270,自然吸气,4缸,106,145,汽油,92号,多点电喷,前置后驱,电动助力,麦弗逊式独立悬挂,五连杆螺旋弹簧,通风盘式,鼓式,,185/65 R14,185/65 R14,标配,-,-,标配,-,-
上海,捷豹F-PACE 2018款 2.0T 四驱都市尊享版,2018,捷豹F-PACE,5.22万公里,2.0T,自动,55.14万,31.88万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,4746/1936/1667,2874,508,1935,涡轮增压,4缸,250,365,汽油,95号,直喷,前置四驱,电动助力,双叉臂式独立悬架,H型多连杆独立悬架,通风盘式,通风盘式,电子驻车,255/60 R18,255/60 R18,标配,标配,标配,标配,标配,选配
上海,捷豹F-PACE 2018款 2.0T 四驱都市尊享版,2018,捷豹F-PACE,5.22万公里,2.0T,自动,55.14万,31.88万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,4746/1936/1667,2874,508,1935,涡轮增压,4缸,250,365,汽油,95号,直喷,前置四驱,电动助力,双叉臂式独立悬架,H型多连杆独立悬架,通风盘式,通风盘式,电子驻车,255/60 R18,255/60 R18,标配,标配,标配,标配,标配,选配
上海,捷豹F-PACE 2018款 2.0T 四驱都市尊享版,2018,捷豹F-PACE,5.22万公里,2.0T,自动,55.14万,31.88万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,4746/1936/1667,2874,508,1935,涡轮增压,4缸,250,365,汽油,95号,直喷,前置四驱,电动助力,双叉臂式独立悬架,H型多连杆独立悬架,通风盘式,通风盘式,电子驻车,255/60 R18,255/60 R18,标配,标配,标配,标配,标配,选配
呼和,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,2018,现代ix35,2.7万公里,2.0L,自动,15.19万,10.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,13,4435/1850/1715,2640,-,1420,自然吸气,4缸,160,193,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,手刹,225/55 R18,225/55 R18,标配,标配,-,标配,标配,标配
佛山,福特 锐界 2012款 2.0T 精锐天窗版(进口),2012,福特,10.14万公里,2.0T,自动,34.39万,13.80万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4699/1930/1705,2825,-,1959,涡轮增压,4缸,243,345,汽油,92号,直喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,脚刹,245/60 R18,245/60 R18,标配,标配,标配,标配,标配,-
青岛,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2015,哈弗H6,4.52万公里,1.5T,自动,14.85万,6.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,5,4649/1852/1710,2680,808-2010,1554,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,标配
新乡,长城C50 2014款 升级版 1.5T 手动时尚型,2014,长城C50,8.29万公里,1.5T,手动,9.31万,3.80万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,24,4669/1775/1455,2700,530,1290,涡轮增压,4缸,133,188,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,双横臂式独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,-,标配,标配,标配,标配
大连,雪佛兰 科鲁兹 2012款 1.6L SE AT,2012,雪佛兰,6.85万公里,1.6L,自动,14.64万,4.60万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,11,4598/1797/1477,2685,400,1390,自然吸气,4缸,121,155,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,-,-,标配,标配,-
青岛,日产 阳光 2011款 1.5XL CVT豪华版,2011,日产,2.59万公里,1.5L,自动,11.16万,4.28万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,4426/1696/1514,2600,490,1069,自然吸气,4缸,112,139,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,185/65 R15,185/65 R15,标配,-,-,标配,-,标配
淄博,铃木 奥拓 2013款 1.0L 手动舒适型,2013,铃木,7.17万公里,1.0L,手动,4.98万,2.58万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,7,3570/1600/1470,2360,129-367,890,自然吸气,3缸,71,92,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,手刹,155/65 R14,155/65 R14,标配,-,-,标配,标配,-
重庆,起亚K3 2013款 1.6L 自动GLS,2013,起亚K3,16.89万公里,1.6L,自动,13.55万,5.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,41,4600/1780/1445,2700,-,1280,自然吸气,4缸,128,156,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,205/55 R16,205/55 R16,标配,-,-,标配,标配,标配
上海,凯迪拉克XT4 2018款 28T 两驱技术型,2018,凯迪拉克XT4,3.28万公里,2.0T,自动,28.19万,19.30万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4600/1881/1627,2779,447-1334,1642,涡轮增压,4缸,241,350,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,通风盘式,电子驻车,235/55 R18,235/55 R18,标配,标配,标配,标配,标配,标配
福州,众泰SR9 2017款 2.0T 自动极致之光版,2017,众泰SR9,4.1万公里,2.0T,自动,15.39万,7.50万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,10,4744/1929/1647,2850,355-1500,1685,涡轮增压,4缸,190,250,汽油,92号,直喷,前置前驱,电子液压助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,235/60 R18,235/60 R18,标配,标配,标配,标配,标配,标配
上海,雷克萨斯CT 2012款 CT200h 精英版,2012,雷克萨斯CT,8.48万公里,1.8L,自动,30.28万,11.99万,国四,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,26,4320/1765/1440,2600,375-985,1440,自然吸气,4缸,99,142,油电混合,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架+横向稳定杆,独立双叉式悬架带横向稳定杆,通风盘式,盘式,脚刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
上海,雷克萨斯CT 2012款 CT200h 精英版,2012,雷克萨斯CT,8.48万公里,1.8L,自动,30.28万,11.99万,国四,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,26,4320/1765/1440,2600,375-985,1440,自然吸气,4缸,99,142,油电混合,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架+横向稳定杆,独立双叉式悬架带横向稳定杆,通风盘式,盘式,脚刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
上海,雷克萨斯CT 2012款 CT200h 精英版,2012,雷克萨斯CT,8.48万公里,1.8L,自动,30.28万,11.99万,国四,1次过户,非运营使用性质,公户产权性质,到店服务看车方式,26,4320/1765/1440,2600,375-985,1440,自然吸气,4缸,99,142,油电混合,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架+横向稳定杆,独立双叉式悬架带横向稳定杆,通风盘式,盘式,脚刹,205/55 R16,205/55 R16,标配,标配,-,标配,标配,-
上海,奥迪S3 2015款 S3 2.0T Limousine(进口),2015,奥迪S3,7.89万公里,2.0T,自动,43.40万,22.80万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,23,4472/1796/1392,2628,425,1505,涡轮增压,4缸,286,380,汽油,95号,混合喷射,前置四驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,225/40 R18,225/40 R18,标配,标配,选配,标配,标配,选配
郑州,福特 福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,2015,福特,4.81万公里,1.0T,自动,15.17万,6.30万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,4368/1823/1483,2648,356,1359,涡轮增压,3缸,125,170,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,标配,-,标配,标配,-
郑州,福特 福克斯 2015款 两厢 EcoBoost 125 自动超能风尚型,2015,福特,4.81万公里,1.0T,自动,15.17万,6.30万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,22,4368/1823/1483,2648,356,1359,涡轮增压,3缸,125,170,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,标配,-,标配,标配,-
杭州,奥迪Q5 2010款 2.0TFSI 进取型,2010,奥迪Q5,14.61万公里,2.0T,自动,41.23万,10.98万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,41,4629/1880/1653,2807,540,1900,涡轮增压,4缸,211,350,汽油,95号,直喷,前置四驱,电子液压助力,五连杆式独立悬架,梯形连杆式独立悬架,通风盘式,盘式,电子驻车,235/65 R17,235/65 R17,标配,标配,-,标配,标配,-
西安,本田 飞度 2016款 1.5L LXS CVT舒适天窗版,2016,本田,6.12万公里,1.5L,自动,9.31万,7.50万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,4065/1695/1525,2530,-,1078,自然吸气,4缸,131,155,汽油,92号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,-,-,标配,标配,-
青岛,福特 福克斯 2011款 两厢 1.8L 自动时尚型,2011,福特,8.31万公里,1.8L,自动,13.87万,3.38万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,14,4342/1840/1500,2640,385-1245,1330,自然吸气,4缸,124,161,汽油,92号,多点电喷,前置前驱,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/65 R15,195/65 R15,标配,-,-,标配,标配,-
大连,奔驰 威霆 2018款 2.0T 商务版,2018,奔驰,2.26万公里,2.0T,自动,37.10万,33.50万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,2,5370/1928/1880,3430,-,2285,涡轮增压,4缸,211,350,汽油,95号,直喷,前置后驱,电动助力,麦弗逊式独立悬架,半拖曳臂式独立悬架,通风盘式,通风盘式,脚刹,235/55 R17,235/55 R17,标配,标配,标配,标配,标配,-
大连,奔驰 威霆 2018款 2.0T 商务版,2018,奔驰,2.26万公里,2.0T,自动,37.10万,33.50万,国四,2次过户,非运营使用性质,私户产权性质,到店服务看车方式,2,5370/1928/1880,3430,-,2285,涡轮增压,4缸,211,350,汽油,95号,直喷,前置后驱,电动助力,麦弗逊式独立悬架,半拖曳臂式独立悬架,通风盘式,通风盘式,脚刹,235/55 R17,235/55 R17,标配,标配,标配,标配,标配,-
南昌,沃尔沃XC60 2010款 T6 R-Design 个性运动版(进口),2010,沃尔沃XC60,15.45万公里,3.0T,自动,66.21万,10.48万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,27,4628/1891/1713,2774,490-1450,1944,涡轮增压,6缸,285,400,汽油,95号,多点电喷,前置四驱,电子液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,235/60 R18,235/60 R18,标配,标配,标配,标配,-,-
成都,大众 捷达 2013款 1.4L 手动舒适型,2013,大众,6.52万公里,1.4L,手动,10.07万,3.70万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,4487/1706/1470,2603,466,1120,自然吸气,4缸,90,132,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,复合扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,选配,标配,标配,标配,-
青岛,大众 迈腾 2012款 1.8TSI 豪华型,2012,大众,8.01万公里,1.8T,自动,25.27万,8.49万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,28,4865/1820/1475,2812,565,1545,涡轮增压,4缸,160,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,215/55 R16,215/55 R16,标配,标配,标配,标配,标配,-
青岛,大众 迈腾 2012款 1.8TSI 豪华型,2012,大众,8.01万公里,1.8T,自动,25.27万,8.49万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,28,4865/1820/1475,2812,565,1545,涡轮增压,4缸,160,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,电子驻车,215/55 R16,215/55 R16,标配,标配,标配,标配,标配,-
上海,奥迪Q2L 2018款 35TFSI 时尚致雅型 国V,2018,奥迪Q2L,0.16万公里,1.4T,自动,25.68万,19.50万,国五,3次过户,非运营使用性质,公户产权性质,到店服务看车方式,5,4229/1785/1548,2628,347,1405,涡轮增压,4缸,150,250,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆式独立悬架,通风盘式,盘式,电子驻车,215/50 R18,215/50 R18,标配,标配,标配,标配,标配,选配
厦门,雷诺 科雷傲 2014款 2.0L 两驱时尚版(进口),2014,雷诺,7.37万公里,2.0L,自动,23.97万,6.90万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,41,4522/1855/1704,2690,450-1380,1558,自然吸气,4缸,140,193,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,-
厦门,雷诺 科雷傲 2014款 2.0L 两驱时尚版(进口),2014,雷诺,7.37万公里,2.0L,自动,23.97万,6.90万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,41,4522/1855/1704,2690,450-1380,1558,自然吸气,4缸,140,193,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,通风盘式,手刹,225/60 R17,225/60 R17,标配,标配,标配,标配,标配,-
石家,宝马5系 2018款 525Li M运动套装,2018,宝马5系,4万公里,2.0T,自动,47.42万,35.60万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,15,5087/1868/1500,3108,-,-,涡轮增压,4缸,184,290,汽油,95号,直喷,前置后驱,电动助力,双叉臂式独立悬架,多连杆独立悬架,通风盘式,通风盘式,电子驻车,245/45 R18,245/45 R18,标配,标配,标配,标配,标配,选配
苏州,奥迪A6L 2019款 40 TFSI 豪华致雅型,2019,奥迪A6L,4.09万公里,2.0T,自动,44.48万,34.86万,国六,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,8,5038/1886/1475,3024,430,1800,涡轮增压,4缸,190,320,汽油,95号,混合喷射,前置前驱,电动助力,五连杆独立悬架,五连杆独立悬架,通风盘式,通风盘式,电子驻车,225/55 R18,225/55 R18,标配,标配,标配,标配,标配,选配
苏州,奥迪A6L 2019款 40 TFSI 豪华致雅型,2019,奥迪A6L,4.09万公里,2.0T,自动,44.48万,34.86万,国六,1次过户,非运营使用性质,公转私产权性质,到店服务看车方式,8,5038/1886/1475,3024,430,1800,涡轮增压,4缸,190,320,汽油,95号,混合喷射,前置前驱,电动助力,五连杆独立悬架,五连杆独立悬架,通风盘式,通风盘式,电子驻车,225/55 R18,225/55 R18,标配,标配,标配,标配,标配,选配
德州,丰田 RAV4 2011款 2.0L 自动豪华版,2011,丰田,10.89万公里,2.0L,自动,24.94万,9.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4630/1855/1720,2660,1031,1540,自然吸气,4缸,150,192,汽油,95号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,-
德州,丰田 RAV4 2011款 2.0L 自动豪华版,2011,丰田,10.89万公里,2.0L,自动,24.94万,9.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4630/1855/1720,2660,1031,1540,自然吸气,4缸,150,192,汽油,95号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,-
德州,丰田 RAV4 2011款 2.0L 自动豪华版,2011,丰田,10.89万公里,2.0L,自动,24.94万,9.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4630/1855/1720,2660,1031,1540,自然吸气,4缸,150,192,汽油,95号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,-
德州,丰田 RAV4 2011款 2.0L 自动豪华版,2011,丰田,10.89万公里,2.0L,自动,24.94万,9.80万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4630/1855/1720,2660,1031,1540,自然吸气,4缸,150,192,汽油,95号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,双叉臂式独立悬架,通风盘式,盘式,手刹,225/65 R17,225/65 R17,标配,标配,标配,标配,标配,-
唐山,宝马3系 2012款 320i 豪华型,2012,宝马3系,6.44万公里,2.0L,自动,42.20万,9.90万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,28,4531/1817/1421,2760,460,1475,自然吸气,4缸,152,200,汽油,95号,多点电喷,前置后驱,电动助力,双球节弹簧减振支柱前桥,多连杆独立悬架,通风盘式,通风盘式,手刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
西安,日产 轩逸 2016款 1.6XL CVT豪华版,2016,日产,4.12万公里,1.6L,自动,14.65万,8.68万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,5,4631/1760/1503,2700,510,1236,自然吸气,4缸,126,154,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/60 R16,195/60 R16,标配,标配,-,标配,标配,-
苏州,起亚 奕跑 2019款 1.4L 自动趣享版 国V,2019,起亚,1.37万公里,1.4L,自动,8.66万,6.58万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4100/1735/1533,2570,-,1100,自然吸气,4缸,100,132.4,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/60 R16,195/60 R16,标配,标配,-,标配,标配,标配
苏州,起亚 奕跑 2019款 1.4L 自动趣享版 国V,2019,起亚,1.37万公里,1.4L,自动,8.66万,6.58万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4100/1735/1533,2570,-,1100,自然吸气,4缸,100,132.4,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/60 R16,195/60 R16,标配,标配,-,标配,标配,标配
苏州,起亚 奕跑 2019款 1.4L 自动趣享版 国V,2019,起亚,1.37万公里,1.4L,自动,8.66万,6.58万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,8,4100/1735/1533,2570,-,1100,自然吸气,4缸,100,132.4,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,盘式,手刹,195/60 R16,195/60 R16,标配,标配,-,标配,标配,标配
石家,奔驰E级 2019款 E 300 L 运动豪华型,2019,奔驰E级,3.4万公里,2.0T,自动,53.49万,43.60万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,5065/1860/1476,3079,-,1800,涡轮增压,4缸,245,370,汽油,95号,直喷,前置后驱,电动助力,多连杆式独立悬架,多连杆式独立悬架,通风盘式,通风盘式,电子驻车,245/45 R18,245/45 R18,标配,标配,标配,标配,标配,标配
石家,奔驰E级 2019款 E 300 L 运动豪华型,2019,奔驰E级,3.4万公里,2.0T,自动,53.49万,43.60万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,17,5065/1860/1476,3079,-,1800,涡轮增压,4缸,245,370,汽油,95号,直喷,前置后驱,电动助力,多连杆式独立悬架,多连杆式独立悬架,通风盘式,通风盘式,电子驻车,245/45 R18,245/45 R18,标配,标配,标配,标配,标配,标配
无锡,马自达 睿翼 2012款 轿跑 2.0L 自动精英版,2012,马自达,5.7万公里,2.0L,自动,19.19万,6.88万,国四,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,38,4755/1795/1440,2725,510,1459,自然吸气,4缸,147,184,汽油,92号,多点电喷,前置前驱,电动助力,双横臂式独立悬架带横向稳定杆,多连杆式独立悬架+横向稳定杆,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,-,-,标配,标配,-
上海,奔驰C级 2010款 C 200K 时尚型,2010,奔驰C级,7.4万公里,1.8T,自动,42.88万,8.66万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,30,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,前置后驱,电子液压助力,三连杆式悬架,多连杆独立悬架,通风盘式,盘式,脚刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
上海,奔驰C级 2010款 C 200K 时尚型,2010,奔驰C级,7.4万公里,1.8T,自动,42.88万,8.66万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,30,4581/1770/1448,2760,475,1505,机械增压,4缸,184,250,汽油,95号,多点电喷,前置后驱,电子液压助力,三连杆式悬架,多连杆独立悬架,通风盘式,盘式,脚刹,225/45 R17,225/45 R17,标配,标配,标配,标配,标配,-
苏州,哈弗H2 2016款 红标 1.5T 自动两驱精英型,2016,哈弗H2,5.58万公里,1.5T,自动,12.68万,5.68万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,18,4335/1814/1695,2560,-,-,涡轮增压,4缸,150,210,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,235/55 R18,235/55 R18,标配,-,标配,标配,标配,标配
青岛,福特 福克斯 2015款 三厢 1.6L 自动舒适型,2015,福特,6.12万公里,1.6L,自动,13.55万,6.17万,国四,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,5,4534/1823/1483,2648,530,1336,自然吸气,4缸,125,159,汽油,92号,多点电喷,前置前驱,机械液压助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,205/60 R16,205/60 R16,标配,标配,-,标配,标配,-
昆明,丰田 威驰 2017款 1.5L CVT创行版,2017,丰田,3.79万公里,1.5L,自动,9.53万,6.68万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4420/1700/1490,2550,-,1090,自然吸气,4缸,107,140,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,标配,-,标配,标配,-
昆明,丰田 威驰 2017款 1.5L CVT创行版,2017,丰田,3.79万公里,1.5L,自动,9.53万,6.68万,国五,1次过户,非运营使用性质,私户产权性质,到店服务看车方式,12,4420/1700/1490,2550,-,1090,自然吸气,4缸,107,140,汽油,92号,多点电喷,前置前驱,电动助力,麦弗逊式独立悬架,扭力梁式非独立悬架,通风盘式,鼓式,手刹,185/60 R15,185/60 R15,标配,标配,-,标配,标配,-
西安,款 1.5T COOPER,未知年份,款,2.54万公里,1.5T,自动,25.38万,19.50万,国五,0次过户,非运营使用性质,私户产权性质,到店服务看车方式,6,3832/1727/1450,2495,211,1240,涡轮增压,3缸,136,220,汽油,95号,直喷,前置前驱,电动助力,麦弗逊式独立悬架,多连杆独立悬架,通风盘式,盘式,手刹,195/55 R16,195/55 R16,标配,标配,标配,标配,标配,选配
